date,open,high,low,close,volume
2000-01-04,6000,6110,5660,6110,74198350
2000-01-05,5800,6060,5520,5580,74680200
2000-01-06,5750,5780,5580,5620,54390500
2000-01-07,5560,5670,5360,5540,40309750
2000-01-10,5600,5770,5580,5770,46880750
2000-01-11,5820,6100,5770,5770,59748700
2000-01-12,5610,5740,5600,5720,29224600
2000-01-13,5600,5740,5560,5710,41191500
2000-01-14,5720,5880,5680,5830,49378800
2000-01-17,6000,6180,5920,6100,63506900
2000-01-18,6160,6160,5980,6100,45261550
2000-01-19,6000,6040,5960,5960,40207950
2000-01-20,5860,6040,5820,6040,37318000
2000-01-21,5950,5980,5880,5880,32536400
2000-01-24,5800,5900,5700,5700,34359150
2000-01-25,5520,5640,5440,5440,44253350
2000-01-26,5500,5520,5410,5480,29286700
2000-01-27,5480,5620,5430,5520,27904150
2000-01-28,5640,5880,5540,5820,38319900
2000-01-31,5640,5730,5560,5580,39634450
2000-02-01,5600,5680,5260,5320,71470100
2000-02-02,5220,5370,5110,5250,64107150
2000-02-03,5250,5460,4970,5130,142767750
2000-02-07,5140,5330,5040,5240,64141750
2000-02-08,5340,5480,5310,5430,58462200
2000-02-09,5560,5720,5480,5720,51051150
2000-02-10,5660,5880,5600,5760,61848950
2000-02-11,5960,5960,5680,5700,34662850
2000-02-14,5600,5660,5340,5380,44144450
2000-02-15,5380,5420,5140,5200,38319650
2000-02-16,5180,5200,4780,5000,73119450
2000-02-17,4940,5100,4910,5080,65186900
2000-02-18,5370,5630,5160,5300,108754150
2000-02-21,5200,5260,5030,5070,26486100
2000-02-22,5000,5240,5000,5120,24183450
2000-02-23,5220,5260,5100,5140,27724850
2000-02-24,5120,5240,5060,5070,26076300
2000-02-25,5080,5150,4980,5120,27876350
2000-02-28,5000,5050,4800,4800,30143200
2000-02-29,4900,5140,4840,5120,51821000
2000-03-02,5880,5880,5520,5880,117754600
2000-03-03,6200,6250,5880,6000,140994550
2000-03-06,6000,6050,5600,5640,39151000
2000-03-07,5600,5640,5480,5620,30070700
2000-03-08,5520,6000,5500,5920,32464400
2000-03-09,5970,5980,5620,5620,55894500
2000-03-10,5790,5800,5520,5540,28609950
2000-03-13,5480,5490,5160,5180,32217900
2000-03-14,5170,5380,5160,5210,30062050
2000-03-15,5200,5400,5120,5400,46107050
2000-03-16,5480,5520,5360,5400,28799050
2000-03-17,5540,5560,5400,5480,24084250
2000-03-20,5600,5710,5530,5660,26366050
2000-03-21,5700,5940,5610,5880,44929350
2000-03-22,5960,6300,5880,6200,86976850
2000-03-23,6480,6580,6200,6200,64950600
2000-03-24,6320,7120,6180,6800,90264000
2000-03-27,6960,7040,6700,6800,67734550
2000-03-28,6900,7260,6820,7030,74425000
2000-03-29,7030,7680,6980,7660,78093700
2000-03-30,7520,7560,7050,7050,74649800
2000-03-31,6800,7070,6650,6700,63856050
2000-04-03,6920,7320,6860,7100,56807100
2000-04-04,7000,7290,6660,6800,58341900
2000-04-06,6860,6960,6680,6680,47236450
2000-04-07,6860,7260,6780,7200,42359900
2000-04-10,7500,7500,7200,7300,35885450
2000-04-11,7200,7200,6950,7100,29078250
2000-04-12,6960,7030,6860,6910,35254800
2000-04-14,6600,6680,6260,6260,62369850
2000-04-17,5420,5750,5340,5520,78052400
2000-04-18,6200,6240,5860,6040,73731250
2000-04-19,6300,6460,5860,6000,60617100
2000-04-20,5960,6160,5920,6020,37335950
2000-04-21,6060,6180,5970,6050,26425650
2000-04-24,5970,6030,5760,5800,27830650
2000-04-25,5620,5760,5520,5640,34900700
2000-04-26,5820,5860,5600,5600,39293000
2000-04-27,5520,5700,5400,5400,54112650
2000-04-28,5500,6100,5460,6000,75531200
2000-05-02,6200,6530,6120,6280,72335650
2000-05-03,6240,6260,6090,6180,26589300
2000-05-04,6220,6360,6140,6180,26101050
2000-05-08,6400,6700,6300,6560,52697200
2000-05-09,6500,6540,6340,6370,50549500
2000-05-10,6320,6390,6270,6350,27623800
2000-05-12,6420,6440,6160,6160,47172250
2000-05-15,6290,6530,6220,6440,47120850
2000-05-16,6510,6800,6510,6800,39624750
2000-05-17,7000,7340,6920,6920,76237900
2000-05-18,6740,7000,6680,6800,36581900
2000-05-19,6740,6900,6600,6900,41452450
2000-05-22,6720,6830,6620,6670,36388700
2000-05-23,6500,6700,6350,6380,41294300
2000-05-24,6160,6370,5920,6200,72152500
2000-05-25,6330,6380,5930,6000,85965150
2000-05-26,5900,5990,5600,5600,67103850
2000-05-29,5260,5680,5240,5460,67130400
2000-05-30,5600,5800,5520,5800,64951900
2000-05-31,6000,6290,5960,6160,83935250
2000-06-01,6200,6410,6120,6300,50234450
2000-06-02,6690,6900,6510,6620,84388900
2000-06-05,6920,6980,6680,6740,48012350
2000-06-07,6600,6980,6510,6800,53366800
2000-06-08,6660,6960,6530,6530,58550850
2000-06-09,6600,7040,6530,7020,63864800
2000-06-12,7200,7280,7030,7190,49515250
2000-06-13,7060,7100,6870,7060,42498500
2000-06-14,7230,7640,7090,7640,63023700
2000-06-15,7560,7560,7000,7000,61227350
2000-06-16,6900,6960,6710,6740,66456350
2000-06-19,6600,6950,6550,6700,53562800
2000-06-20,6940,7180,6830,7140,59793900
2000-06-21,7300,7380,7070,7080,37589750
2000-06-22,7240,7270,6960,7040,33636650
2000-06-23,6980,7010,6860,7000,29216150
2000-06-26,7100,7360,6990,7210,39984500
2000-06-27,7320,7440,7190,7310,45539150
2000-06-28,7220,7540,7220,7520,47295150
2000-06-29,7600,7740,7380,7490,61124850
2000-06-30,7440,7540,7290,7380,35254000
2000-07-03,7440,7550,7420,7500,25975750
2000-07-04,7600,7620,7350,7350,32811450
2000-07-05,7390,7520,7350,7430,24899400
2000-07-06,7240,7350,7180,7300,60342600
2000-07-07,7340,7460,7230,7360,40581250
2000-07-10,7440,7630,7410,7600,42508600
2000-07-11,7580,7740,7450,7450,34949600
2000-07-12,7520,7660,7460,7640,40143400
2000-07-13,7700,7880,7570,7760,48805800
2000-07-14,7780,7840,7540,7550,30425700
2000-07-18,7550,7620,7440,7460,19605300
2000-07-19,7360,7390,7140,7200,40053250
2000-07-20,7060,7110,6840,6900,40319000
2000-07-21,6960,7050,6760,6920,48395050
2000-07-24,6640,6740,6360,6380,49018200
2000-07-25,6310,6400,6120,6280,56738350
2000-07-26,6400,6580,6360,6550,54746250
2000-07-27,6220,6360,6100,6230,43543250
2000-07-28,5800,5910,5710,5730,83036950
2000-07-31,5730,5910,5550,5900,46615600
2000-08-01,5960,6270,5870,6220,53123300
2000-08-02,6100,6170,5930,6070,37191250
2000-08-03,6180,6180,5970,6030,27817100
2000-08-04,5930,6010,5850,5920,23606850
2000-08-07,5740,5770,5580,5580,28767750
2000-08-08,5660,5750,5570,5580,33477500
2000-08-09,5680,6040,5680,6000,39574750
2000-08-10,6000,6160,5860,6160,40830600
2000-08-11,6000,6070,5880,5960,33844500
2000-08-14,6060,6160,6000,6020,23733200
2000-08-16,6500,6530,6330,6420,51918000
2000-08-17,6480,6560,6340,6440,36346300
2000-08-18,6500,6520,6200,6200,21371650
2000-08-21,6200,6340,6190,6270,20950000
2000-08-22,6260,6470,6240,6460,27712600
2000-08-23,6450,6450,6160,6190,27909550
2000-08-24,6260,6300,6100,6220,31701550
2000-08-25,6180,6400,6110,6400,21964450
2000-08-28,6340,6380,6260,6330,17634850
2000-08-29,6320,6380,6160,6220,16765550
2000-08-30,6140,6190,6020,6030,23738900
2000-08-31,5900,5900,5380,5470,114121250
2000-09-01,5540,5600,5420,5540,49957500
2000-09-04,5440,5550,5310,5340,28629000
2000-09-05,5260,5340,5030,5150,79769400
2000-09-06,5200,5280,5090,5150,53122500
2000-09-07,4940,4980,4760,4790,83907150
2000-09-08,4900,4930,4790,4880,57171400
2000-09-14,4600,4710,4440,4710,106131250
2000-09-15,4500,4620,4300,4350,82698600
2000-09-18,4010,4120,3700,3970,146308650
2000-09-19,3990,4370,3900,4160,100525150
2000-09-20,4600,4660,4460,4600,103414950
2000-09-21,4590,4660,4320,4400,65445500
2000-09-22,3840,4050,3780,3800,103266000
2000-09-25,3880,4110,3840,4090,65988650
2000-09-26,3900,4040,3900,4000,58430500
2000-09-27,4000,4100,3960,4030,69795450
2000-09-28,4100,4190,4030,4060,52470000
2000-09-29,4120,4120,3940,4040,57537050
2000-10-02,3840,3880,3760,3810,41120850
2000-10-04,3700,3950,3590,3890,82636950
2000-10-05,4020,4080,3940,3940,62749750
2000-10-06,3800,3900,3760,3900,54935500
2000-10-09,3820,3840,3680,3690,63199750
2000-10-10,3700,3810,3590,3660,62145000
2000-10-11,3450,3460,3210,3220,103605550
2000-10-12,3140,3280,3140,3140,79537450
2000-10-13,3000,3090,2830,3030,115298100
2000-10-16,3300,3380,3130,3160,116319600
2000-10-17,2980,3080,2730,2740,65302250
2000-10-18,2540,2760,2420,2730,164215550
2000-10-19,2730,3050,2690,2900,137720450
2000-10-20,3240,3330,3190,3330,118827100
2000-10-23,3490,3520,3160,3200,139963000
2000-10-24,3180,3420,3100,3340,97115900
2000-10-25,3200,3260,3130,3210,68734700
2000-10-26,2930,3030,2740,2890,133294500
2000-10-27,2960,3020,2840,2840,73168000
2000-10-30,2800,2880,2720,2750,36832850
2000-10-31,2750,2850,2630,2850,63192350
2000-11-01,3000,3270,2960,3260,94165000
2000-11-02,3200,3430,3170,3320,123181800
2000-11-03,3420,3470,3370,3440,80421750
2000-11-06,3460,3670,3380,3510,71866500
2000-11-07,3460,3550,3380,3440,53740200
2000-11-08,3400,3460,3280,3410,58219200
2000-11-09,3300,3430,3260,3400,52308550
2000-11-10,3360,3440,3320,3380,35142000
2000-11-13,3220,3260,3100,3150,51072850
2000-11-14,3210,3320,3210,3290,31757700
2000-11-15,3450,3460,3320,3390,55723200
2000-11-16,3400,3420,3250,3280,37422300
2000-11-17,3180,3230,3150,3220,36227650
2000-11-20,3160,3210,3100,3100,26799050
2000-11-21,3080,3170,2970,3160,51622800
2000-11-22,3100,3220,3080,3140,37714450
2000-11-23,3140,3260,3140,3210,44648000
2000-11-24,3310,3400,3270,3400,45533650
2000-11-27,3600,3800,3570,3780,100222300
2000-11-28,3650,3650,3500,3520,59771950
2000-11-29,3300,3350,3200,3220,54303400
2000-11-30,3220,3290,3150,3240,63316100
2000-12-01,3080,3220,3040,3180,96427850
2000-12-04,3220,3250,3080,3100,51877000
2000-12-05,3160,3250,3120,3240,58404750
2000-12-06,3410,3430,3210,3210,95891700
2000-12-07,3210,3260,3160,3260,43021100
2000-12-08,3260,3390,3260,3370,47575050
2000-12-11,3480,3630,3480,3580,70579150
2000-12-12,3580,3650,3500,3500,73747900
2000-12-13,3500,3780,3500,3780,84144450
2000-12-14,3620,3680,3560,3620,66969300
2000-12-15,3620,3640,3480,3490,52960850
2000-12-18,3500,3590,3490,3560,34352900
2000-12-19,3560,3570,3510,3530,25449100
2000-12-20,3420,3450,3320,3340,53678800
2000-12-21,3120,3300,3070,3240,76628650
2000-12-22,3240,3300,3130,3140,63762900
2000-12-26,3230,3240,3160,3160,60431600
2001-01-02,3160,3380,3140,3350,39456350
2001-01-03,3230,3420,3220,3370,37857150
2001-01-04,3790,3870,3660,3780,119912400
2001-01-05,3760,3920,3700,3900,78137200
2001-01-08,3820,3910,3780,3880,42295550
2001-01-09,3830,3860,3710,3840,46280400
2001-01-10,3780,3810,3700,3710,41238850
2001-01-11,3790,3790,3640,3640,31411950
2001-01-12,3800,3890,3770,3840,52903000
2001-01-15,3860,4020,3840,3920,51463750
2001-01-16,3960,4200,3850,4140,52069450
2001-01-17,4060,4240,4060,4220,52572950
2001-01-18,4240,4530,4240,4400,57685900
2001-01-19,4700,4700,4520,4600,54247000
2001-01-22,4600,4600,4470,4550,42251700
2001-01-26,4450,4480,3970,3980,91026300
2001-01-29,4000,4100,3960,4020,47246750
2001-01-30,4100,4170,4070,4110,39350000
2001-01-31,4090,4400,4090,4400,53046500
2001-02-01,4270,4420,4190,4270,39732000
2001-02-02,4290,4390,4220,4290,27330200
2001-02-05,4170,4200,3990,4030,47137700
2001-02-06,3980,4020,3910,4010,31548300
2001-02-07,3960,3990,3900,3900,23132500
2001-02-08,3920,4060,3890,4060,34687800
2001-02-09,4040,4100,3980,4070,25231850
2001-02-12,3840,4050,3840,3970,36114650
2001-02-13,4040,4100,3970,3980,22297650
2001-02-14,3920,4040,3900,3980,19710050
2001-02-15,4200,4210,4100,4130,34934000
2001-02-16,4150,4310,4130,4250,46377750
2001-02-19,4180,4210,4100,4190,22881500
2001-02-20,4190,4280,4180,4240,18178650
2001-02-21,4160,4200,4140,4160,19501200
2001-02-22,4080,4100,3940,4010,43608450
2001-02-23,3920,3970,3830,3840,76858200
2001-02-26,3850,3860,3780,3840,35668900
2001-02-27,3840,3940,3790,3790,38699100
2001-02-28,3700,3780,3700,3740,28717250
2001-03-02,3700,3700,3580,3610,44503100
2001-03-05,3530,3720,3530,3720,24622800
2001-03-06,3820,3850,3760,3800,25504100
2001-03-07,3960,4010,3900,4000,52643750
2001-03-08,3950,4010,3910,4010,31364800
2001-03-09,3940,3940,3820,3840,30804750
2001-03-12,3700,3760,3650,3670,38610550
2001-03-13,3570,3650,3540,3640,33815650
2001-03-14,3790,3910,3780,3900,39286250
2001-03-15,3790,3930,3760,3920,29370500
2001-03-16,3880,3920,3830,3890,23317800
2001-03-19,3810,3880,3770,3800,24869350
2001-03-20,3900,3920,3820,3820,21459750
2001-03-21,3720,3900,3700,3870,40550200
2001-03-22,3980,3990,3920,3980,37466850
2001-03-23,4090,4370,4080,4300,91757400
2001-03-26,4400,4430,4340,4340,42874400
2001-03-27,4300,4310,4120,4150,31347500
2001-03-28,4260,4260,4150,4150,26078350
2001-03-29,4090,4180,4040,4090,29921100
2001-03-30,4110,4170,4040,4160,30103850
2001-04-02,4040,4100,3960,3990,39142150
2001-04-03,3810,3870,3790,3800,46074700
2001-04-04,3700,3740,3630,3660,62281550
2001-04-06,3960,3960,3780,3840,85291850
2001-04-09,3790,3810,3710,3710,25840450
2001-04-10,3710,3740,3610,3640,39179500
2001-04-11,3780,3800,3720,3720,44517550
2001-04-12,3940,4090,3900,4010,73663300
2001-04-13,4100,4150,4030,4060,38840550
2001-04-16,4060,4080,3940,3940,10204850
2001-04-17,3920,4020,3850,3970,16817950
2001-04-18,4110,4280,4070,4280,47793950
2001-04-19,4620,4920,4580,4700,131306400
2001-04-20,4720,4780,4490,4490,44908800
2001-04-23,4490,4610,4470,4540,31786050
2001-04-24,4410,4420,4330,4400,31189600
2001-04-25,4340,4520,4320,4520,26347450
2001-04-26,4600,4600,4450,4470,39211750
2001-04-27,4410,4450,4310,4340,21699000
2001-04-30,4460,4620,4410,4580,38228550
2001-05-02,4700,4700,4540,4580,36513350
2001-05-03,4620,4620,4490,4600,25899550
2001-05-04,4410,4510,4410,4460,32806350
2001-05-07,4500,4630,4480,4600,17947850
2001-05-08,4590,4620,4520,4590,16826200
2001-05-09,4560,4580,4490,4500,20696050
2001-05-10,4500,4560,4440,4500,24624350
2001-05-11,4460,4470,4400,4410,27709150
2001-05-14,4420,4460,4400,4430,14310100
2001-05-15,4410,4450,4290,4340,26421800
2001-05-16,4300,4370,4200,4210,25895800
2001-05-17,4400,4430,4340,4430,24106650
2001-05-18,4380,4420,4340,4410,18919400
2001-05-21,4500,4620,4430,4580,28162800
